ox_code	species	population	cluster_id
AC0090-Ca	gam	UGS	0
AC0090-Cb	gam	UGS	0
AC0091-Ca	gam	UGS	0
AC0091-Cb	gam	UGS	0
AC0092-Ca	gam	UGS	0
AC0092-Cb	gam	UGS	0
AC0093-Ca	gam	UGS	0
AC0093-Cb	gam	UGS	1
AC0094-Ca	gam	UGS	1
AC0094-Cb	gam	UGS	0
AC0095-Ca	gam	UGS	0
AC0095-Cb	gam	UGS	0
AC0096-Ca	gam	UGS	1
AC0096-Cb	gam	UGS	0
AC0097-Ca	gam	UGS	0
AC0097-Cb	gam	UGS	-1
AC0098-Ca	gam	UGS	0
AC0098-Cb	gam	UGS	-1
AC0099-Ca	gam	UGS	0
AC0099-Cb	gam	UGS	0
AC0100-Ca	gam	UGS	0
AC0100-Cb	gam	UGS	0
AC0101-Ca	gam	UGS	1
AC0101-Cb	gam	UGS	0
AC0102-Ca	gam	UGS	1
AC0102-Cb	gam	UGS	0
AC0103-Ca	gam	UGS	0
AC0103-Cb	gam	UGS	0
AC0104-Ca	gam	UGS	-1
AC0104-Cb	gam	UGS	0
AC0106-Ca	gam	UGS	0
AC0106-Cb	gam	UGS	1
AC0107-Ca	gam	UGS	1
AC0107-Cb	gam	UGS	0
AC0108-Ca	gam	UGS	-1
AC0108-Cb	gam	UGS	0
AC0109-Ca	gam	UGS	-1
AC0109-Cb	gam	UGS	1
AC0110-Ca	gam	UGS	0
AC0110-Cb	gam	UGS	0
AC0111-Ca	gam	UGS	0
AC0111-Cb	gam	UGS	1
AC0112-Ca	gam	UGS	0
AC0112-Cb	gam	UGS	-1
AC0113-Ca	gam	UGS	0
AC0113-Cb	gam	UGS	-1
AC0114-Ca	gam	UGS	-1
AC0114-Cb	gam	UGS	0
AC0115-Ca	gam	UGS	-1
AC0115-Cb	gam	UGS	0
AC0116-Ca	gam	UGS	0
AC0116-Cb	gam	UGS	1
AC0117-Ca	gam	UGS	-1
AC0117-Cb	gam	UGS	-1
AC0118-Ca	gam	UGS	0
AC0118-Cb	gam	UGS	-1
AC0119-Ca	gam	UGS	-1
AC0119-Cb	gam	UGS	-1
AC0120-Ca	gam	UGS	-1
AC0120-Cb	gam	UGS	-1
AC0121-Ca	gam	UGS	0
AC0121-Cb	gam	UGS	-1
AC0122-Ca	gam	UGS	1
AC0122-Cb	gam	UGS	-1
AC0123-Ca	gam	UGS	1
AC0123-Cb	gam	UGS	0
AC0124-Ca	gam	UGS	1
AC0124-Cb	gam	UGS	0
AC0125-Ca	gam	UGS	0
AC0125-Cb	gam	UGS	0
AC0126-Ca	gam	UGS	0
AC0126-Cb	gam	UGS	-1
AC0127-Ca	gam	UGS	1
AC0127-Cb	gam	UGS	2
AC0128-Ca	gam	UGS	0
AC0128-Cb	gam	UGS	0
AC0129-Ca	gam	UGS	0
AC0129-Cb	gam	UGS	1
AC0130-Ca	gam	UGS	1
AC0130-Cb	gam	UGS	-1
AC0131-Ca	gam	UGS	1
AC0131-Cb	gam	UGS	-1
AC0132-Ca	gam	UGS	1
AC0132-Cb	gam	UGS	0
AC0133-Ca	gam	UGS	0
AC0133-Cb	gam	UGS	-1
AC0135-Ca	gam	UGS	0
AC0135-Cb	gam	UGS	-1
AC0136-Ca	gam	UGS	0
AC0136-Cb	gam	UGS	0
AC0137-Ca	gam	UGS	-1
AC0137-Cb	gam	UGS	-1
AC0138-Ca	gam	UGS	0
AC0138-Cb	gam	UGS	0
AC0139-Ca	gam	UGS	0
AC0139-Cb	gam	UGS	0
AC0140-Ca	gam	UGS	-1
AC0140-Cb	gam	UGS	-1
AC0142-Ca	gam	UGS	0
AC0142-Cb	gam	UGS	0
AC0143-Ca	gam	UGS	0
AC0143-Cb	gam	UGS	0
AC0144-Ca	gam	UGS	0
AC0144-Cb	gam	UGS	-1
AC0145-Ca	gam	UGS	-1
AC0145-Cb	gam	UGS	0
AC0147-Ca	gam	UGS	0
AC0147-Cb	gam	UGS	1
AC0148-Ca	gam	UGS	0
AC0148-Cb	gam	UGS	-1
AC0149-Ca	gam	UGS	1
AC0149-Cb	gam	UGS	0
AC0150-Ca	gam	UGS	-1
AC0150-Cb	gam	UGS	-1
AC0151-Ca	gam	UGS	-1
AC0151-Cb	gam	UGS	-1
AC0152-Ca	gam	UGS	0
AC0152-Cb	gam	UGS	2
AC0153-Ca	gam	UGS	-1
AC0153-Cb	gam	UGS	0
AC0154-Ca	gam	UGS	2
AC0154-Cb	gam	UGS	1
AC0156-Ca	gam	UGS	-1
AC0156-Cb	gam	UGS	0
AC0158-Ca	gam	UGS	-1
AC0158-Cb	gam	UGS	-1
AC0159-Ca	gam	UGS	0
AC0159-Cb	gam	UGS	0
AC0160-Ca	gam	UGS	0
AC0160-Cb	gam	UGS	2
AC0161-Ca	gam	UGS	-1
AC0161-Cb	gam	UGS	0
AC0162-Ca	gam	UGS	-1
AC0162-Cb	gam	UGS	0
AC0163-Ca	gam	UGS	0
AC0163-Cb	gam	UGS	1
AC0164-Ca	gam	UGS	1
AC0164-Cb	gam	UGS	0
AC0166-Ca	gam	UGS	0
AC0166-Cb	gam	UGS	0
AC0167-Ca	gam	UGS	1
AC0167-Cb	gam	UGS	0
AC0168-Ca	gam	UGS	0
AC0168-Cb	gam	UGS	0
AC0169-Ca	gam	UGS	1
AC0169-Cb	gam	UGS	-1
AC0170-Ca	gam	UGS	-1
AC0170-Cb	gam	UGS	0
AC0171-Ca	gam	UGS	0
AC0171-Cb	gam	UGS	0
AC0172-Ca	gam	UGS	0
AC0172-Cb	gam	UGS	0
AC0173-Ca	gam	UGS	0
AC0173-Cb	gam	UGS	0
AC0174-Ca	gam	UGS	0
AC0174-Cb	gam	UGS	-1
AC0176-Ca	gam	UGS	0
AC0176-Cb	gam	UGS	2
AC0178-Ca	gam	UGS	-1
AC0178-Cb	gam	UGS	1
AC0179-Ca	gam	UGS	-1
AC0179-Cb	gam	UGS	2
AC0180-Ca	gam	UGS	1
AC0180-Cb	gam	UGS	0
AC0181-Ca	gam	UGS	0
AC0181-Cb	gam	UGS	-1
AC0182-Ca	gam	UGS	-1
AC0182-Cb	gam	UGS	-1
AC0183-Ca	gam	UGS	0
AC0183-Cb	gam	UGS	0
AC0184-Ca	gam	UGS	-1
AC0184-Cb	gam	UGS	0
AC0186-Ca	gam	UGS	-1
AC0186-Cb	gam	UGS	0
AC0187-Ca	gam	UGS	0
AC0187-Cb	gam	UGS	0
AC0188-Ca	gam	UGS	0
AC0188-Cb	gam	UGS	1
AC0189-Ca	gam	UGS	0
AC0189-Cb	gam	UGS	1
AC0190-Ca	gam	UGS	0
AC0190-Cb	gam	UGS	0
AC0191-Ca	gam	UGS	0
AC0191-Cb	gam	UGS	0
AC0192-Ca	gam	UGS	1
AC0192-Cb	gam	UGS	-1
AC0193-Ca	gam	UGS	-1
AC0193-Cb	gam	UGS	-1
AC0194-Ca	gam	UGS	-1
AC0194-Cb	gam	UGS	0
AC0195-Ca	gam	UGS	0
AC0195-Cb	gam	UGS	1
AC0196-Ca	gam	UGS	0
AC0196-Cb	gam	UGS	-1
AC0197-Ca	gam	UGS	0
AC0197-Cb	gam	UGS	0
AC0199-Ca	gam	UGS	0
AC0199-Cb	gam	UGS	0
AC0200-Ca	gam	UGS	2
AC0200-Cb	gam	UGS	0
AC0201-Ca	gam	UGS	1
AC0201-Cb	gam	UGS	0
AC0202-Ca	gam	UGS	0
AC0202-Cb	gam	UGS	-1
AC0203-Ca	gam	UGS	0
AC0203-Cb	gam	UGS	0
