ox_code	Dup1	P4	Sweep	ZZB
AC0090-C	0	2	2	2
AC0091-C	0	2	2	2
AC0092-C	2	2	2	2
AC0093-C	1	1	1	1
AC0094-C	0	1	1	1
AC0095-C	2	2	2	2
AC0096-C	0	1	1	1
AC0097-C	1	1	1	1
AC0098-C	1	2	2	2
AC0099-C	0	2	2	2
AC0100-C	1	2	2	2
AC0101-C	0	1	1	1
AC0102-C	1	1	1	1
AC0103-C	1	2	2	2
AC0104-C	1	1	1	1
AC0106-C	0	1	1	1
AC0107-C	0	1	1	1
AC0108-C	1	2	2	2
AC0109-C	0	0	0	0
AC0110-C	1	2	2	2
AC0111-C	1	1	1	1
AC0112-C	0	1	1	1
AC0113-C	1	1	1	1
AC0114-C	1	1	1	1
AC0115-C	0	1	1	1
AC0116-C	0	1	1	1
AC0117-C	0	0	0	1
AC0118-C	1	1	1	1
AC0119-C	0	1	1	1
AC0120-C	1	1	1	1
AC0121-C	0	2	1	2
AC0122-C	0	1	1	1
AC0123-C	0	1	1	1
AC0124-C	1	1	1	1
AC0125-C	2	2	2	2
AC0126-C	1	2	2	2
AC0127-C	0	0	0	0
AC0128-C	0	2	2	2
AC0129-C	1	1	1	1
AC0130-C	0	0	0	0
AC0131-C	0	1	1	1
AC0132-C	1	1	1	1
AC0133-C	0	1	1	1
AC0135-C	1	1	1	1
AC0136-C	1	2	2	2
AC0137-C	0	1	0	1
AC0138-C	1	2	2	2
AC0139-C	1	2	2	2
AC0140-C	2	1	1	1
AC0142-C	1	2	2	2
AC0143-C	1	2	2	2
AC0144-C	1	2	2	2
AC0145-C	1	1	1	1
AC0147-C	0	1	1	1
AC0148-C	1	2	2	2
AC0149-C	1	1	1	1
AC0150-C	1	0	0	1
AC0151-C	1	1	0	1
AC0152-C	0	1	1	1
AC0153-C	0	1	1	1
AC0154-C	0	0	0	1
AC0156-C	1	1	1	1
AC0158-C	0	0	0	0
AC0159-C	0	2	2	2
AC0160-C	1	1	1	1
AC0161-C	0	1	0	1
AC0162-C	1	1	1	1
AC0163-C	1	1	1	1
AC0164-C	1	1	1	1
AC0166-C	2	2	2	2
AC0167-C	0	1	1	1
AC0168-C	2	2	2	2
AC0169-C	1	0	0	1
AC0170-C	0	1	1	1
AC0171-C	2	2	2	2
AC0172-C	1	2	2	2
AC0173-C	1	2	2	2
AC0174-C	1	1	1	1
AC0176-C	0	1	1	1
AC0178-C	0	0	0	0
AC0179-C	0	0	0	0
AC0180-C	1	1	1	1
AC0181-C	1	2	2	2
AC0182-C	0	0	0	0
AC0183-C	1	2	2	2
AC0184-C	1	1	1	1
AC0186-C	0	1	1	1
AC0187-C	2	2	2	2
AC0188-C	1	1	1	1
AC0189-C	1	1	1	1
AC0190-C	2	2	2	2
AC0191-C	1	2	2	2
AC0192-C	0	0	0	0
AC0193-C	-1	2	1	2
AC0194-C	1	1	1	1
AC0195-C	1	1	1	1
AC0196-C	1	1	1	1
AC0197-C	1	2	2	2
AC0199-C	1	2	2	2
AC0200-C	0	1	1	1
AC0201-C	0	1	1	1
AC0202-C	0	1	1	1
AC0203-C	1	2	2	2
